'1','Julius','Northam','JuliusNortham@cs.ucy.ac.cy','JuliusNortham1.com','JuliusNortham1','1982-06-08','false','[]','[]','[]','false','Santalaris','Aloda','JNortham1',''
'2','Joos','Rendell','JoosRendell@cs.ucy.ac.cy','JoosRendell2.com','JoosRendell2','1982-06-08','false','[]','[]','[]','true','Drys Kato','Deryneia Pano','JRendell2',''
'3','Allan','Shopland','AllanShopland@cs.ucy.ac.cy','AllanShopland3.com','AllanShopland3','1982-06-08','false','[]','[]','[]','true','Kantara','Ayia Napa','AShopland3',''
'4','Gerrard','Bickford','GerrardBickford@cs.ucy.ac.cy','GerrardBickford4.com','GerrardBickford4','1982-06-08','false','[]','[University of Athens, University of Cyprus]','[]','false','Korovia','Salamina','GBickford4',''
'5','Christian','Strong','ChristianStrong@cs.ucy.ac.cy','ChristianStrong5.com','ChristianStrong5','1982-06-08','false','[]','[]','[]','false','Anafotida','Ayios Theodoros','CStrong5',''
'6','Petros','Bracey','PetrosBracey@cs.ucy.ac.cy','PetrosBracey6.com','PetrosBracey6','1982-06-08','false','[]','[]','[]','true','Aiyialousa','Prosfygikos Syn. AHK','PBracey6',''
'7','Archilai','Pryor','ArchilaiPryor@cs.ucy.ac.cy','ArchilaiPryor7.com','ArchilaiPryor7','1982-06-08','false','[]','[University of Athens, University of Cyprus]','[]','false','Krideia','Ayios Eystathios','APryor7',''
'8','Bevil','Gassick','BevilGassick@cs.ucy.ac.cy','BevilGassick8.com','BevilGassick8','1982-06-08','false','[]','[]','[]','false','Anafotida','Stathmos Skarinou','BGassick8',''
'9','Susanne','Fox','SusanneFox@cs.ucy.ac.cy','SusanneFox9.com','SusanneFox9','1982-06-08','false','[]','[]','[]','false','Axna','Lysi','SFox9',''
'10','Dimitri','Finch','DimitriFinch@cs.ucy.ac.cy','DimitriFinch10.com','DimitriFinch10','1982-06-08','false','[]','[University of Patras]','[]','false','Deryneia Pano','Leykonoiko','DFinch10',''
'11','Stephen','Germon','StephenGermon@cs.ucy.ac.cy','StephenGermon11.com','StephenGermon11','1982-06-08','false','[]','[]','[]','false','Ayia Anna','Ayia Thekla','SGermon11',''
'12','Lucretia ','Haywood','Lucretia Haywood@cs.ucy.ac.cy','Lucretia Haywood12.com','Lucretia Haywood12','1982-06-08','true','[]','[]','[]','true','Gaidouras - Nea Sparti','Gaidouras - Nea Sparti','LHaywood12',''
'13','Helena','Kendall','HelenaKendall@cs.ucy.ac.cy','HelenaKendall13.com','HelenaKendall13','1982-06-08','false','[]','[]','[]','false','Agglikos Stratos (Larnaka)','Psyllatos','HKendall13',''
'14','Michael','Tavernor','MichaelTavernor@cs.ucy.ac.cy','MichaelTavernor14.com','MichaelTavernor14','1982-06-08','false','[]','[]','[]','false','Deryneia Pano','Apostolos Andreas','MTavernor14',''
'15','Morgan','Beare','MorganBeare@cs.ucy.ac.cy','MorganBeare15.com','MorganBeare15','1982-06-08','false','[]','[]','[]','true','Leonarisso','Mandres','MBeare15',''
'16','Dionisis','Etches','DionisisEtches@cs.ucy.ac.cy','DionisisEtches16.com','DionisisEtches16','1982-06-08','false','[]','[]','[]','false','Arnadi','Kato Drys','DEtches16',''
'17','Meredith','Blanchard','MeredithBlanchard@cs.ucy.ac.cy','MeredithBlanchard17.com','MeredithBlanchard17','1982-06-08','false','[]','[]','[]','false','Monraga','Psyllatos','MBlanchard17',''
'18','Humphrey','Long','HumphreyLong@cs.ucy.ac.cy','HumphreyLong18.com','HumphreyLong18','1982-06-08','false','[]','[]','[]','false','Aplanta','Diethnis Aerolimenas Larnakas','HLong18',''
'19','Rawsone ','Carne','Rawsone Carne@cs.ucy.ac.cy','Rawsone Carne19.com','Rawsone Carne19','1982-06-08','true','[]','[]','[]','true','Kontea','Axna','RCarne19',''
'20','Nasif','Ward','NasifWard@cs.ucy.ac.cy','NasifWard20.com','NasifWard20','1982-06-08','false','[]','[]','[]','false','Deryneia Kato','Kontea','NWard20',''
'21','Jerman','Beck','JermanBeck@cs.ucy.ac.cy','JermanBeck21.com','JermanBeck21','1982-06-08','false','[]','[]','[]','false','Milia','Makrasyka','JBeck21',''
'22','Manasses','Clemons','ManassesClemons@cs.ucy.ac.cy','ManassesClemons22.com','ManassesClemons22','1982-06-08','false','[]','[]','[]','false','Lapathos','Gaidouras - Nea Sparti','MClemons22',''
'23','Matilda ','Perkins','Matilda Perkins@cs.ucy.ac.cy','Matilda Perkins23.com','Matilda Perkins23','1982-06-08','true','[]','[]','[]','false','Ayios Sergios','Paralimni','MPerkins23',''
'24','Ellena','Bidder','EllenaBidder@cs.ucy.ac.cy','EllenaBidder24.com','EllenaBidder24','1982-06-08','false','[]','[]','[]','true','Ayios Xariton','Mandres','EBidder24',''
'25','Jenkin','Cornish','JenkinCornish@cs.ucy.ac.cy','JenkinCornish25.com','JenkinCornish25','1982-06-08','false','[]','[]','[]','true','Drys Pano','Paralimni','JCornish25',''
'26','Jankin','Discombe','JankinDiscombe@cs.ucy.ac.cy','JankinDiscombe26.com','JankinDiscombe26','1982-06-08','false','[]','[]','[]','false','Ayios Symeon','Knodara','JDiscombe26',''
'27','Botolph','Edwards','BotolphEdwards@cs.ucy.ac.cy','BotolphEdwards27.com','BotolphEdwards27','1982-06-08','false','[]','[]','[]','true','Ayia Triada','Mandres','BEdwards27',''
'28','Richard','Ackrell','RichardAckrell@cs.ucy.ac.cy','RichardAckrell28.com','RichardAckrell28','1982-06-08','false','[]','[]','[]','true','Melounta','Maratha','RAckrell28',''
'29','Susanna ','Anstey','Susanna Anstey@cs.ucy.ac.cy','Susanna Anstey29.com','Susanna Anstey29','1982-06-08','true','[]','[]','[]','true','Monraga','Psyllatos','SAnstey29',''
'30','Silvio','Spencer','SilvioSpencer@cs.ucy.ac.cy','SilvioSpencer30.com','SilvioSpencer30','1982-06-08','false','[]','[]','[]','true','Peristerona (Ammohostou)','Komi','SSpencer30',''
'31','Phillipa ','Veryard','Phillipa Veryard@cs.ucy.ac.cy','Phillipa Veryard31.com','Phillipa Veryard31','1982-06-08','true','[]','[]','[]','false','Platanissos','Kantara','PVeryard31',''
